NODE_1_length_2009_cov_81.454451_cutoff_91,Chromosome,--
NODE_27_length_883_cov_0.758065_cutoff_0,Chromosome,--
NODE_28_length_830_cov_13.583001_cutoff_0,Chromosome,0,LRR_5
NODE_29_length_749_cov_1.447917_cutoff_0,Chromosome,0,FctA FctA FctA
NODE_30_length_731_cov_5.888379_cutoff_0,Chromosome,--
NODE_31_length_671_cov_2.691919_cutoff_0,Chromosome,0,HemolysinCabind HemolysinCabind HemolysinCabind
NODE_32_length_653_cov_6.178819_cutoff_0,Chromosome,--
NODE_33_length_620_cov_1.014733_cutoff_0,Chromosome,0,Methylase_S
NODE_34_length_608_cov_4.467043_cutoff_0,Chromosome,0,AgI_II_C2 AgI_II_C2
NODE_35_length_599_cov_1.779693_cutoff_0,Chromosome,0,Mub_B2
NODE_36_length_596_cov_1.500963_cutoff_0,Chromosome,0,RicinB_lectin_2
NODE_1_length_23215_cov_32.428084_cutoff_42,Chromosome,-53.24276631861784,SecE NusG KOW COX1 Ribosomal_L33 Ribosomal_L10 Ribosomal_L11_N Ribosomal_L11 Ribosomal_L1 Ribosom_S12_S23 GTP_EFTU_D3 Ribosomal_L12 Ribosomal_L12_N PMT_2 Lyase_1 FumaraseC_C Ribosomal_L7Ae RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_2 RNA_pol_Rpb1_3 RNA_pol_Rpb1_5 RNA_pol_Rpb1_4 GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 Ribosomal_S7 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 RNA_pol_Rpb2_6 RNA_pol_Rpb2_3 RNA_pol_Rpb2_45 RNA_pol_Rpb2_1 RNA_pol_Rpb2_7 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2
NODE_2_length_4354_cov_49.679682_cutoff_42,Chromosome,0,PHO4 DUF3349
NODE_1_length_60844_cov_66.017361_cutoff_5,Plasmid,3.57,RuvC MucBP MucBP DUF1642 Big_8 Collagen_bind DUF1642 CHAP Phage_lysozyme2 BspA_v ZoocinA_TRD Amidase_2 Phage_holin_Dp1 PDDEXK_1 DHFR_1 dUTPase DUF3310 AAA_24 LAGLIDADG_3 aGPT-Pplase1 DNA_pol_A DNA_pol_A_exo1 DUF1642 AAA_25 RepB_primase
NODE_2_length_35956_cov_22.725606_cutoff_5,Plasmid,14.43,CbiA T4SS-DNA_transf DUF4913 TrwC AAA_30 AAA_19 RepA_C CHAP SLT
NODE_3_length_4858_cov_52.857980_cutoff_5,Plasmid,8.86,CRISPR_Cas2 Relaxase Rep_3
NODE_4_length_4021_cov_9.666075_cutoff_5,Chromosome,--
NODE_5_length_3803_cov_3.509125_cutoff_5,Chromosome,0,SWI2_SNF2 EcoR124_C HSDR_N Methylase_S
NODE_6_length_2384_cov_6.196792_cutoff_5,Plasmid,2.65,RHH_3
NODE_7_length_1645_cov_6.943240_cutoff_5,Chromosome,--
NODE_8_length_1607_cov_7.909150_cutoff_5,Plasmid,5.20,RepL
NODE_9_length_1590_cov_3.103767_cutoff_5,Chromosome,--
NODE_10_length_1575_cov_3.167557_cutoff_5,Chromosome,0,Radical_SAM CarbopepD_reg_2
NODE_1_length_38271_cov_24.937556_cutoff_15,Plasmid,1.28,HNH_3 HTH_23 NUMOD3 HTH_11 DUF2188 HK97-gp10_like YopX DUF4355 Phage_connect_1 Sipho_Gp157 DNA_methylase Phage_tail_3 Phage_holin_1 Amidase_2 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 DUF1642 DUF3310 HTH_3 Phage_prot_Gp6 Phage_Mu_F DUF1492 Collagen Phage_prot_Gp6 SSB Terminase_2 IstB_IS21 HTH_26 Peptidase_S24 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4 Phage_int_SAM_5 ERF RepA_N DnaB_2
NODE_2_length_36443_cov_24.367239_cutoff_15,Plasmid,3.98,Rho_N Phage_connect_1 HK97-gp10_like Phage_TAC_12 Phage_tail_2 DUF4355 VirE Prim-Pol PriCT_1 AAA_24 YopX Glutaredoxin DUF1492 Terminase_2 Terminase_3 Terminase_3C Phage_prot_Gp6 Phage_Mu_F WLM Prophage_tail Peptidase_S74 Sipho_tail Collagen Phage_holin_1 CW_binding_1 Amidase_2 CW_binding_1 CW_binding_1 CW_binding_1 Phage_integrase Arm-DNA-bind_4 HSDR_N_2 Sipho_Gp157 Yqai HTH_3
NODE_3_length_2057_cov_47.120202_cutoff_15,Chromosome,0,ABC2_membrane ABC_tran
