NODE_1_length_2102_cov_205.855309_cutoff_54,Chromosome,--
NODE_1_length_869_cov_19.438131_cutoff_10,Chromosome,--
NODE_37_length_842_cov_5.717647_cutoff_0,Chromosome,0,SHIRT SHIRT SHIRT SHIRT
NODE_38_length_732_cov_7.064122_cutoff_0,Chromosome,--
NODE_39_length_721_cov_0.976708_cutoff_0,Chromosome,0,Imm5 Imm5
NODE_40_length_713_cov_2.938679_cutoff_0,Chromosome,--
NODE_41_length_713_cov_0.743711_cutoff_0,Chromosome,--
NODE_42_length_638_cov_1.693405_cutoff_0,Chromosome,0,Cna_B Cna_B Cna_B
NODE_43_length_623_cov_5.835165_cutoff_0,Chromosome,--
NODE_44_length_593_cov_2.189922_cutoff_0,Chromosome,0,SHIRT SHIRT SHIRT
NODE_45_length_581_cov_2.039683_cutoff_0,Chromosome,--
NODE_1_length_37368_cov_3.066129_cutoff_5,Plasmid,5.58,Peptidase_M78 HTH_3 Phage_rep_org_N DnaB_2 IstB_IS21 ERF SSB Sipho_Gp157 YopX N6_N4_Mtase ParBc Phage_prot_Gp6 Phage_min_cap2 Phage_GP20 Minor_capsid_1 Terminase_3 Terminase_3C Amidase_5 Phage_holin_6_1 Gp58 Sipho_tail Phage_Gp15 Minor_capsid_3 Minor_capsid_2 DUF1642 DUF1642 Resolvase Recombinase Zn_ribbon_recom DUF1372
NODE_2_length_5678_cov_1.785038_cutoff_5,Chromosome,-10.859345010089605,GATase IGPD GATase His_biosynth His_biosynth His_biosynth PRA-CH PRA-PH
NODE_3_length_4972_cov_4.382431_cutoff_5,Chromosome,0,Metallophos Metallophos
NODE_4_length_4206_cov_1.595786_cutoff_5,Chromosome,0,HTH_3
NODE_5_length_4043_cov_3.657590_cutoff_5,Chromosome,--
NODE_6_length_3280_cov_24.523884_cutoff_5,Chromosome,0,HicA_toxin HicB-like_2
NODE_7_length_2966_cov_362.575978_cutoff_5,Chromosome,--
NODE_8_length_2261_cov_9.934982_cutoff_5,Chromosome,0,Lipoprotein_Ltp Lipoprotein_Ltp Lipoprotein_Ltp Lipoprotein_Ltp
NODE_9_length_1792_cov_8.721283_cutoff_5,Plasmid,2.48,AAA_31
NODE_10_length_1394_cov_9.362946_cutoff_5,Chromosome,0,MucBP_2 Mub_B2 MucBP_2
NODE_11_length_1196_cov_1.908847_cutoff_5,Chromosome,--
NODE_12_length_590_cov_7.335283_cutoff_5,Chromosome,0,MucBP MucBP
NODE_1_length_1318_cov_43.396454_cutoff_15,Chromosome,0,Transposase_mut
