NODE_1_length_2096_cov_69.859832_cutoff_54,Chromosome,--
NODE_12_length_2828_cov_715.285714_cutoff_0,Chromosome,--
NODE_13_length_2647_cov_27.607782_cutoff_0,Chromosome,0,GyrI-like
NODE_14_length_2384_cov_2.482878_cutoff_0,Chromosome,0,Phage_integrase Phage_int_SAM_4 Phage_int_SAM_1 Methylase_S
NODE_15_length_1886_cov_1.988391_cutoff_0,Chromosome,0,PDDEXK_4
NODE_16_length_1569_cov_1.677614_cutoff_0,Chromosome,0,Fic HTH_24 HTH_11
NODE_17_length_1421_cov_1.244048_cutoff_0,Chromosome,--
NODE_18_length_1231_cov_0.896880_cutoff_0,Chromosome,--
NODE_19_length_935_cov_1.177156_cutoff_0,Chromosome,0,Peripla_BP_4 Peripla_BP_4
NODE_20_length_831_cov_0.940318_cutoff_0,Chromosome,--
NODE_21_length_718_cov_2.124805_cutoff_0,Chromosome,0,Rubrerythrin
NODE_22_length_686_cov_0.775041_cutoff_0,Chromosome,0,Methylase_S
NODE_23_length_674_cov_1.350084_cutoff_0,Chromosome,--
NODE_1_length_32530_cov_27.743722_cutoff_5,Chromosome,-2.599999069015565,Hydrolase_2 HTH_38 Dam N6_N4_Mtase DUF4406 VRR_NUC DUF3310 Terminase_1 Phage_portal Peptidase_S78 Phage_capsid HK97-gp10_like Sipho_Gp37 Sipho_tail 23S_rRNA_IVP RVT_1 RHH_1 HTH_38 Phage_holin_6_1 SPOR Amidase_2 HTH_31
NODE_2_length_22166_cov_11.078003_cutoff_5,Plasmid,1.46,DUF285 DUF285 Phage_holin_4_1 DUF3854 Phage_integrase Phage_int_SAM_5 Transglut_core SLT
NODE_3_length_5150_cov_18.278139_cutoff_5,Plasmid,4.09,MobC
NODE_4_length_2079_cov_4.130869_cutoff_5,Chromosome,0,RHS_repeat
NODE_5_length_2032_cov_3.291049_cutoff_5,Plasmid,3.52,TraX
NODE_6_length_1921_cov_1.828633_cutoff_5,Chromosome,0,Sigma70_r2 Sigma70_r4_2 PepSY
NODE_7_length_1732_cov_5.562538_cutoff_5,Chromosome,0,PMT_2
NODE_8_length_1682_cov_2.848598_cutoff_5,Chromosome,--
