NODE_1_length_5614_cov_179.644753_cutoff_118,Chromosome,--
NODE_4_length_35894_cov_39.203228_cutoff_0,Plasmid,2.67,Sipho_tail Phage_Gp15 Minor_capsid_3 Minor_capsid_2 Minor_capsid_1 DUF2786 DUF1642 HTH_3 SSB DUF1351 HTH_3 Phg_2220_C Phage_rep_org_N Prophage_tail DUF859 Phage_holin_Dp1 Amidase_5 CW_7 CW_7 Phage_holin_4_1 ERF N6_N4_Mtase ParBc Terminase_3 Terminase_3C Phage_prot_Gp6 Phage_min_cap2 Phage_GP20
NODE_5_length_34656_cov_5.806328_cutoff_0,Chromosome,0,HTH_17 HTH_3 Phage_integrase P22_CoatProtein Phage_prot_Gp6 Terminase_1 Phage_r1t_holin Peptidase_M23 Glyco_hydro_25 DUF5403
NODE_6_length_22989_cov_3.123822_cutoff_0,Plasmid,14.60,AbiEii Mob_Pre Resolvase AbiEi_4 Rep_3 AAA_31 ShlB POTRA_2 POTRA_3 OMP_b-brl Fil_haemagg_2 Fil_haemagg_2 Fil_haemagg_2 Fil_haemagg_2
NODE_7_length_6598_cov_17.014108_cutoff_0,Plasmid,5.35,Rep_3 ParE_toxin Astacin
NODE_8_length_5166_cov_5.571232_cutoff_0,Chromosome,0,FtsK_SpoIIIE YoeB_toxin
NODE_9_length_4631_cov_15.879007_cutoff_0,Plasmid,5.35,Rep_3 YoeB_toxin
NODE_10_length_4449_cov_3.526304_cutoff_0,Plasmid,15.29,HTH_11 ParE_toxin Replicase PriCT_1 TraD MobA_MobL
NODE_11_length_3455_cov_49.158378_cutoff_0,Chromosome,--
NODE_12_length_2462_cov_2.069602_cutoff_0,Plasmid,9.06,RepL Mob_Pre
NODE_13_length_1894_cov_2.395157_cutoff_0,Chromosome,-6.3526858302390785,DUF4065 NAD_Gly3P_dh_C NAD_Gly3P_dh_N F420_oxidored
NODE_14_length_1866_cov_2.233650_cutoff_0,Chromosome,0,ABC_tran
NODE_15_length_1766_cov_2.104204_cutoff_0,Chromosome,--
NODE_16_length_1589_cov_23.605159_cutoff_0,Chromosome,--
NODE_17_length_1570_cov_0.841259_cutoff_0,Chromosome,--
NODE_18_length_1442_cov_1.800000_cutoff_0,Chromosome,--
NODE_19_length_1414_cov_24.178010_cutoff_0,Chromosome,--
NODE_20_length_1343_cov_2.123223_cutoff_0,Chromosome,-3.669365789584665,DnaJ TPR_6
NODE_21_length_772_cov_1.431655_cutoff_0,Chromosome,--
NODE_22_length_719_cov_0.696262_cutoff_0,Chromosome,0,GBS_Bsp-like GBS_Bsp-like
NODE_23_length_712_cov_0.930709_cutoff_0,Chromosome,0,Big_6
NODE_24_length_683_cov_3.623762_cutoff_0,Chromosome,0,HemolysinCabind HCBP_related HemolysinCabind HemolysinCabind
NODE_25_length_680_cov_1.638474_cutoff_0,Chromosome,0,HemolysinCabind HCBP_related HemolysinCabind HemolysinCabind HemolysinCabind HemolysinCabind
NODE_26_length_623_cov_2.265568_cutoff_0,Chromosome,--
NODE_27_length_601_cov_0.791985_cutoff_0,Chromosome,--
NODE_28_length_590_cov_1.543860_cutoff_0,Chromosome,0,YadA_stalk YadA_head YadA_head
NODE_1_length_40051_cov_121.134137_cutoff_26,Chromosome,0,Terminase_1 Phage_holin_Dp1 Sipho_tail Peptidase_S78 Phage_capsid DUF2800 Sipho_Gp37 Pox_D5 Phage_portal
NODE_1_length_1685_cov_14.853856_cutoff_20,Chromosome,--
NODE_1_length_170792_cov_6.823027_cutoff_5,Chromosome,-4.481777019464786,HNH_3 NUMOD4 PHP DNA_pol3_alpha DUF723 RNA_ligase DNA_pol3_finger HHH_6 RNase_H RVT_1 RNase_H RecA Ribonuc_red_lgC Toprim_2 Toprim_N DnaB_C PDDEXK_1 Collagen Collagen Collagen Collagen Collagen Collagen Fer2_BFD Peptidase_M23 SLT Radical_SAM SpoVG AdoMet_dc Thymidylat_synt Glutaredoxin Bac_DNA_binding DNA_pol3_finger Ribonuc_red_sm RuvC ATP-cone Ribonuc_red_lgN Ribonuc_red_lgC HNH_3 Whirly PRA-PH ThiF Peptidase_M23 Hydrolase_2 Tn7_Tnp_TnsA_N DNA_ligase_OB_2 Intein_splicing Phage_lysozyme Phage_portal SNase DNA_pol3_alpha Terminase_6 LAGLIDADG_3
NODE_2_length_43652_cov_5.393735_cutoff_5,Chromosome,0,Sipho_tail Sipho_Gp37 Sipho_Gp37 Phage_holin_Dp1 Phage_portal Terminase_1 Peptidase_S78 Phage_capsid HNH_3 HNH_3 GDPD
NODE_3_length_12737_cov_23.009242_cutoff_5,Plasmid,11.77,Rep_3 Toprim_2 Fic Relaxase DnaB_C Resolvase
NODE_4_length_9695_cov_6.593159_cutoff_5,Plasmid,9.44,Rep_3 Thioredoxin_3 HTH_3 HTH_5 ArsP_1 ParE_toxin MobC
NODE_5_length_7606_cov_3.078231_cutoff_5,Chromosome,-2.7368145368392103,PTS_EIIB PEP-utilizers_C PEP-utilisers_N PEP-utilizers MlrC_C PRD CAT_RBD PRD DUF871 PTS-HPr PTS_EIIA_1 PTS_EIIC PTS_EIIB SIS
NODE_6_length_7234_cov_9.313958_cutoff_5,Chromosome,0,HTH_3 Phage_CRI Phage_X CoatB DUF2523 Zot
NODE_7_length_2941_cov_7.782123_cutoff_5,Chromosome,0,FeoB_N Gate Gate FeoB_C FeoA
NODE_8_length_2164_cov_5.468615_cutoff_5,Chromosome,--
NODE_9_length_1940_cov_3.665593_cutoff_5,Chromosome,-13.524265554886014,BMC BMC PduV-EutP BMC BMC
NODE_10_length_1706_cov_5.617557_cutoff_5,Chromosome,-17.332617920646072,DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542
NODE_11_length_1685_cov_16.770522_cutoff_5,Chromosome,0,DUF559
NODE_12_length_1646_cov_7.456979_cutoff_5,Chromosome,--
NODE_13_length_1643_cov_7.042784_cutoff_5,Chromosome,0,YadA_stalk
NODE_14_length_1428_cov_6.760918_cutoff_5,Chromosome,--
NODE_15_length_1397_cov_4.135606_cutoff_5,Chromosome,--
NODE_16_length_1292_cov_5.411523_cutoff_5,Chromosome,0,Peptidase_S41
NODE_17_length_1278_cov_2.074105_cutoff_5,Chromosome,0,Methylase_S Methylase_S
NODE_18_length_1247_cov_3.617094_cutoff_5,Chromosome,--
NODE_19_length_1216_cov_6.155399_cutoff_5,Chromosome,--
NODE_1_length_7274_cov_85.178547_cutoff_33,Chromosome,--
NODE_2_length_1880_cov_37.688852_cutoff_33,Chromosome,0,DUF2807 DUF2807
NODE_1_length_8352_cov_10.802417_cutoff_15,Chromosome,-2.66606368071953,tRNA_edit Response_reg GerE Big_8 Sensor HisKA_3 SIR2 Zn_peptidase
