NODE_1_length_1907_cov_26.406011_cutoff_118,Chromosome,--
NODE_51_length_713_cov_1.121069_cutoff_0,Chromosome,--
NODE_52_length_698_cov_1.146538_cutoff_0,Chromosome,--
NODE_53_length_678_cov_0.970050_cutoff_0,Chromosome,--
NODE_54_length_677_cov_3.738333_cutoff_0,Chromosome,--
NODE_55_length_665_cov_1.787415_cutoff_0,Chromosome,--
NODE_56_length_635_cov_164.958781_cutoff_0,Chromosome,--
NODE_57_length_633_cov_0.724820_cutoff_0,Chromosome,--
NODE_58_length_631_cov_1.864621_cutoff_0,Chromosome,--
NODE_59_length_611_cov_1.091760_cutoff_0,Chromosome,0,Cna_B Cna_B Cna_B
NODE_60_length_599_cov_1.890805_cutoff_0,Chromosome,0,Mub_B2
NODE_61_length_598_cov_1.992322_cutoff_0,Chromosome,--
NODE_62_length_587_cov_1.929412_cutoff_0,Chromosome,--
NODE_63_length_581_cov_2.168651_cutoff_0,Chromosome,0,YadA_head YadA_head YadA_head YadA_head YadA_head YadA_head
NODE_1_length_44588_cov_15.720833_cutoff_5,Chromosome,0,Pox_D5 Sipho_tail Phage_holin_Dp1 Collagen Collagen Collagen Sipho_Gp37 CHAP Terminase_1 HNH_3 Phage_portal
NODE_2_length_41603_cov_24.575663_cutoff_5,Plasmid,5.83,HTH_3 Phage_integrase Phage_int_SAM_3 HTH_3 ANT Bro-N ERF Phage_SSB Rep_Org_C DUF806 HK97-gp10_like Phage_TAC_3 Phage_TTP_1 Phage_capsid CLP_protease Phage_H_T_join PhageMin_Tail Phage_holin_6_1 DUF2913 Sipho_tail Glyco_hydro_25 Collagen Collagen DUF1140 DUF1642 DUF1660 Prophage_tail DUF1056 Phage_portal HNH Terminase_4 Terminase_1 DUF1359 DUF722 DUF1064 DUF1497 DUF1031 DUF658 DUF1125 zinc_ribbon_2
NODE_3_length_32559_cov_8.202266_cutoff_5,Plasmid,42.02,SLT MobA_MobL VirB8 CagX TrbI T4SS-DNA_transf CagE_TrbE_VirB Resolvase Zeta_toxin CbiA Topoisom_bac Toprim zf-C4_Topoisom zf-C4_Topoisom zf-C4_Topoisom TrbC VirB3 T4SS-DNA_transf T2SSE HTH_3 ArdA Rep_3 Peptidase_M23
NODE_4_length_10141_cov_18.369734_cutoff_5,Plasmid,5.35,PrsW-protease Rep_3 RelB
NODE_5_length_9740_cov_14.928387_cutoff_5,Chromosome,0,HTH_3 DnaB_C Phage_integrase Phage_int_SAM_4 Phage_int_SAM_1
NODE_6_length_7280_cov_6.938359_cutoff_5,Chromosome,0,SHMT AMP-binding PP-binding AMP-binding TetR_N DoxX_2
NODE_7_length_3673_cov_2.793660_cutoff_5,Chromosome,0,MethyltransfD12 DDE_Tnp_1 N6_N4_Mtase DpnII
NODE_8_length_3130_cov_13.225352_cutoff_5,Plasmid,5.48,HTH_Tnp_Tc3_1 Rep_1
NODE_9_length_3039_cov_1.676570_cutoff_5,Chromosome,0,DUF4391 AAA_21
NODE_10_length_2990_cov_1.878133_cutoff_5,Chromosome,0,LRR_1 LRR_1 LRR_1 LRR_1 LRR_1
NODE_11_length_2496_cov_2.486978_cutoff_5,Chromosome,--
NODE_12_length_2293_cov_2.392599_cutoff_5,Chromosome,--
NODE_13_length_1791_cov_2.325554_cutoff_5,Chromosome,0,Abhydrolase_4 Abhydrolase_1
NODE_14_length_1646_cov_5.511154_cutoff_5,Chromosome,--
NODE_15_length_1633_cov_2.312339_cutoff_5,Chromosome,0,OmpA
NODE_16_length_1406_cov_2.361174_cutoff_5,Chromosome,--
NODE_17_length_1337_cov_7.716667_cutoff_5,Chromosome,0,Antigen_C AgI_II_C2 MucBP AgI_II_C2
NODE_18_length_1304_cov_1.713121_cutoff_5,Chromosome,--
NODE_19_length_1121_cov_6.184866_cutoff_5,Chromosome,0,Mub_B2 MucBP_2
NODE_20_length_1110_cov_2.752178_cutoff_5,Chromosome,0,OmpA
NODE_21_length_1098_cov_2.406464_cutoff_5,Chromosome,0,DUF1310 DUF1310
NODE_22_length_1080_cov_8.105683_cutoff_5,Chromosome,0,Glycos_transf_2 Glycos_transf_2
